# MISSION PROFILE DATA
# Timestamp: 2026-06-18 18:50:30
# Deep Target: 2.50 m
# Shallow Target: 0.40 m
# Profile Count: 1
# Arrival Tolerance: 0.33 m
# Hold Duration: 20 s
# PID: P=30.00, I=0.00, D=0.00
# Neutral ADC: 1609
# Bounds: 120 to 3900
# Depth Offset: -0.095 m
# ------------------------------------------
Time (s),Depth (m),Pressure (kPa),Actuator (ADC),Target (ADC),State
0.00,-0.000,101.32,3910,1445,2
0.04,0.000,101.33,3879,1473,2
0.14,0.000,101.33,3829,1493,2
0.33,-0.000,101.32,3775,1506,2
0.34,0.001,101.33,3722,1516,2
0.44,0.000,101.33,3671,1523,2
0.53,0.000,101.33,3616,1527,2
0.70,0.001,101.33,3572,1531,2
0.75,-0.001,101.31,3527,1533,2
0.88,0.001,101.33,3479,1535,2
0.94,0.000,101.33,3430,1536,2
1.04,-0.000,101.32,3384,1537,2
1.19,-0.000,101.32,3336,1537,2
1.24,0.000,101.33,3289,1538,2
1.37,0.000,101.33,3240,1538,2
1.44,0.001,101.33,3192,1538,2
1.54,-0.000,101.32,3143,1538,2
1.72,-0.001,101.32,3094,1538,2
1.84,0.000,101.33,3045,1538,2
1.84,0.000,101.33,2999,1538,2
1.93,0.001,101.33,2953,1538,2
2.04,-0.001,101.32,2911,1539,2
2.21,0.000,101.33,2873,1538,2
2.26,-0.000,101.32,2831,1538,2
2.39,-0.001,101.32,2790,1538,2
2.44,-0.000,101.32,2747,1538,2
2.53,-0.000,101.32,2701,1539,2
2.72,0.000,101.33,2652,1539,2
2.76,0.001,101.33,2604,1539,2
2.90,0.000,101.33,2560,1539,2
2.93,0.000,101.33,2520,1538,2
3.04,0.001,101.33,2473,1538,2
3.18,0.000,101.33,2426,1539,2
3.24,-0.000,101.32,2379,1538,2
3.37,0.000,101.33,2334,1538,2
3.43,-0.000,101.32,2287,1538,2
3.54,-0.000,101.32,2238,1538,2
3.64,0.001,101.34,2190,1538,2
3.77,-0.000,101.32,2143,1539,2
3.90,-0.000,101.32,2102,1538,2
3.93,-0.001,101.31,2062,1538,2
4.04,0.000,101.33,2028,1538,2
4.14,0.000,101.33,1977,1539,2
4.25,-0.001,101.31,1931,1539,2
4.44,0.000,101.33,1877,1538,2
4.44,-0.000,101.32,1829,1538,2
4.54,0.000,101.33,1787,1539,2
4.66,-0.000,101.32,1743,1539,2
4.84,-0.000,101.32,1699,1539,2
4.84,-0.000,101.32,1654,1539,2
4.93,0.001,101.33,1606,1539,2
5.04,-0.000,101.32,1568,1539,2
5.13,-0.000,101.32,1534,1538,2
5.27,0.000,101.33,1525,1538,2
5.44,0.000,101.33,1525,1538,2
5.44,0.000,101.33,1524,1538,2
5.54,0.001,101.34,1524,1538,2
5.68,0.001,101.33,1523,1539,2
5.82,0.002,101.34,1523,1539,2
5.84,0.002,101.34,1524,1539,2
5.94,0.001,101.34,1523,1539,2
6.04,0.002,101.35,1522,1539,2
6.14,0.004,101.37,1523,1539,2
6.28,0.004,101.36,1523,1539,2
6.44,0.006,101.38,1523,1539,2
6.44,0.004,101.36,1523,1539,2
6.54,0.006,101.39,1523,1539,2
6.69,0.008,101.40,1522,1539,2
6.83,0.009,101.41,1523,1539,2
6.84,0.007,101.40,1522,1539,2
6.94,0.010,101.42,1522,1539,2
7.04,0.011,101.44,1522,1539,2
7.14,0.011,101.44,1522,1539,2
7.29,0.012,101.45,1523,1539,2
7.34,0.014,101.46,1522,1539,2
7.48,0.015,101.48,1523,1539,2
7.54,0.016,101.49,1522,1539,2
7.65,0.017,101.49,1522,1539,2
7.82,0.020,101.53,1522,1539,2
7.84,0.020,101.53,1522,1539,2
7.94,0.022,101.55,1522,1539,2
8.04,0.023,101.56,1522,1539,2
8.14,0.024,101.57,1522,1539,2
8.30,0.027,101.60,1522,1539,2
8.35,0.027,101.60,1523,1539,2
8.49,0.030,101.63,1522,1539,2
8.54,0.031,101.64,1522,1540,2
8.68,0.034,101.67,1522,1540,2
8.87,0.037,101.69,1522,1540,2
8.87,0.037,101.70,1521,1540,2
8.94,0.038,101.71,1522,1540,2
9.04,0.040,101.72,1521,1540,2
9.14,0.043,101.76,1521,1540,2
9.27,0.046,101.79,1521,1540,2
9.46,0.049,101.82,1521,1540,2
9.46,0.049,101.82,1522,1540,2
9.57,0.051,101.84,1521,1540,2
9.75,0.056,101.89,1521,1540,2
9.75,0.055,101.88,1522,1540,2
9.84,0.058,101.91,1521,1540,2
9.94,0.060,101.93,1522,1540,2
10.04,0.062,101.95,1521,1540,2
10.16,0.065,101.98,1522,1541,2
10.34,0.070,102.03,1522,1541,2
10.35,0.070,102.03,1521,1541,2
10.44,0.072,102.06,1522,1541,2
10.54,0.076,102.09,1521,1541,2
10.64,0.078,102.11,1521,1541,2
10.77,0.081,102.15,1521,1541,2
10.95,0.087,102.20,1521,1541,2
10.95,0.087,102.20,1522,1541,2
11.04,0.089,102.22,1523,1541,2
11.16,0.092,102.26,1522,1541,2
11.35,0.097,102.30,1521,1541,2
11.35,0.098,102.31,1522,1541,2
11.44,0.101,102.34,1522,1542,2
11.54,0.104,102.37,1522,1542,2
11.64,0.107,102.40,1522,1542,2
11.80,0.111,102.44,1522,1542,2
11.86,0.113,102.47,1522,1542,2
12.02,0.119,102.53,1522,1542,2
12.04,0.120,102.53,1522,1542,2
12.17,0.124,102.58,1522,1542,2
12.24,0.126,102.59,1522,1542,2
12.38,0.131,102.64,1522,1542,2
12.44,0.133,102.66,1521,1543,2
12.54,0.136,102.69,1521,1543,2
12.64,0.139,102.73,1521,1543,2
12.80,0.146,102.79,1521,1543,2
12.86,0.147,102.81,1521,1543,2
13.02,0.153,102.87,1522,1543,2
13.04,0.153,102.87,1522,1543,2
13.17,0.158,102.92,1521,1543,2
13.24,0.160,102.94,1521,1543,2
13.39,0.167,103.01,1521,1543,2
13.44,0.168,103.02,1521,1544,2
13.54,0.171,103.05,1522,1544,2
13.64,0.176,103.10,1522,1544,2
13.74,0.180,103.14,1524,1544,2
13.89,0.185,103.19,1524,1544,2
14.03,0.191,103.25,1523,1544,2
14.04,0.191,103.25,1524,1544,2
14.15,0.196,103.31,1523,1544,2
14.34,0.203,103.37,1524,1544,2
14.34,0.204,103.38,1523,1544,2
14.44,0.208,103.43,1524,1545,2
14.54,0.212,103.47,1523,1545,2
14.64,0.216,103.50,1523,1545,2
14.77,0.220,103.55,1523,1545,2
14.94,0.229,103.63,1524,1545,2
14.94,0.227,103.62,1524,1545,2
15.04,0.233,103.67,1523,1545,2
15.15,0.237,103.71,1523,1546,2
15.32,0.245,103.79,1523,1546,2
15.34,0.246,103.80,1524,1546,2
15.44,0.250,103.85,1523,1546,2
15.54,0.254,103.89,1523,1546,2
15.64,0.259,103.93,1523,1546,2
15.80,0.265,104.00,1523,1546,2
15.84,0.267,104.02,1524,1547,2
15.97,0.272,104.07,1524,1546,2
16.04,0.276,104.11,1524,1547,2
16.15,0.283,104.18,1523,1547,2
16.32,0.289,104.24,1523,1547,2
16.34,0.290,104.25,1524,1547,2
16.44,0.294,104.29,1523,1547,2
16.54,0.299,104.35,1523,1547,2
16.64,0.304,104.39,1523,1547,2
16.78,0.311,104.47,1523,1548,2
16.94,0.318,104.53,1523,1548,2
16.95,0.318,104.53,1524,1548,2
17.10,0.322,104.58,1524,1548,2
17.15,0.328,104.63,1524,1548,2
17.28,0.334,104.70,1524,1548,2
17.34,0.337,104.73,1524,1549,2
17.44,0.341,104.77,1524,1549,2
17.54,0.347,104.82,1523,1549,2
17.64,0.352,104.87,1524,1549,2
17.74,0.356,104.92,1524,1549,2
17.84,0.361,104.97,1523,1549,2
17.97,0.367,105.03,1524,1549,2
18.09,0.374,105.09,1524,1549,2
18.14,0.376,105.12,1523,1550,2
18.24,0.380,105.16,1524,1550,2
18.34,0.386,105.22,1523,1550,2
18.44,0.392,105.28,1524,1550,2
18.54,0.396,105.32,1525,1550,2
18.64,0.401,105.37,1523,1550,2
18.74,0.406,105.42,1524,1550,2
